Player,Team,Pos,Injury,Status,Est. Return
Christian Encarnacion-Strand,CIN,1B,Wrist,60-Day IL,Subscribers Only
Blayne Enlow,SF,P,Undisclosed,60-Day IL,Subscribers Only
Nic Enright,CLE,P,Shoulder,7-Day IL,Subscribers Only
Paolo Espino,TOR,P,Undisclosed,7-Day IL,Subscribers Only
Daniel Espino,CLE,P,Shoulder,60-Day IL,Subscribers Only
Albert Fabian,SD,1B,Undisclosed,60-Day IL,Subscribers Only
Stuart Fairchild,CIN,OF,Back,10-Day IL,Subscribers Only
Bailey Falter,PIT,P,Triceps,15-Day IL,Subscribers Only
Jonny Farmelo,SEA,OF,Knee,7-Day IL,Subscribers Only
Trent Farquhar,PHI,SS,Undisclosed,7-Day IL,Subscribers Only
Daniel Federman,BAL,P,Undisclosed,60-Day IL,Subscribers Only
Angel Felipe,LAA,P,Elbow,60-Day IL,Subscribers Only
Jose Ferrer,WSH,P,Shoulder,60-Day IL,Subscribers Only
Hugh Fisher,ARI,P,Undisclosed,60-Day IL,Subscribers Only
Wilmer Flores,DET,P,Shoulder,7-Day IL,Subscribers Only
Ty Floyd,CIN,P,Elbow,60-Day IL,Subscribers Only
Cole Fontenelle,LAA,3B,Lower Body,60-Day IL,Subscribers Only
Matt Foster,CWS,P,Elbow,60-Day IL,Subscribers Only
J.P. France,HOU,P,Shoulder,7-Day IL,Subscribers Only
Wander Franco,TB,SS,Personal,Out,Subscribers Only
Sadrac Franco,LAA,P,Undisclosed,60-Day IL,Subscribers Only
Jesse Franklin,ATL,OF,Shoulder,60-Day IL,Subscribers Only
Kohl Franklin,CHC,P,Elbow,60-Day IL,Subscribers Only
Nick Frasso,LAD,P,Shoulder,60-Day IL,Subscribers Only
Dominic Freeberger,BAL,P,Undisclosed,60-Day IL,Subscribers Only
TJ Friedl,CIN,OF,Hamstring,10-Day IL,Subscribers Only
Matt Frisbee,SF,P,Undisclosed,7-Day IL,Subscribers Only
Shintaro Fujinami,NYM,P,Shoulder,60-Day IL,Subscribers Only
Michael Fulmer,BOS,P,Elbow,60-Day IL,Subscribers Only
Dax Fulton,MIA,P,Elbow,60-Day IL,Subscribers Only
Nate Furman,CLE,2B,Shoulder,7-Day IL,Subscribers Only
Richard Gallardo,CHC,P,Undisclosed,60-Day IL,Subscribers Only
Joey Gallo,WSH,OF,Hamstring,10-Day IL,Subscribers Only
Yimi Garcia,TOR,P,Elbow,15-Day IL,Subscribers Only
Luis Garcia,HOU,P,Elbow,60-Day IL,Subscribers Only
Johanfran Garcia,BOS,C,Knee,60-Day IL,Subscribers Only
